Country Name,Country Code,Indicator Name,Indicator Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Azerbaijan,AZE,GDP (current US$),NY.GDP.MKTP.CD,8858006036.0,8792365811.0,4991350458.0,3970953396.0,3313939554.0,3052467522.0,3176703092.0,3962735257.0,4446370371.0,4581246713.0,5272617196.0,5707720391.0,6235856820.0,7276013032.0,8680370408.0,13245716099.0,20982986344.0,33050343783.0,48852482960.0,44291490421.0,52902703376.0,65951627200.0,69683935845.0,74164435946.0,75244294275.0,53074370486.0,37867518957.0,40865558912.0,47112941176.0,48047647059.0
Burundi,BDI,GDP (current US$),NY.GDP.MKTP.CD,1132101253.0,1167398478.0,1083037671.0,938632612.0,925030590.2,1000428394.0,869033856.3,972896267.9,893770806.1,808077223.4,870486065.9,876794723.1,825394490.2,784654423.6,915257323.4,1117113046.0,1273375020.0,1356199365.0,1611835902.0,1781455092.0,2032135247.0,2235820868.0,2333308099.0,2451625333.0,2705783272.0,3104394858.0,2959640987.0,3172292379.0,3036931818.0,3012334882.0
Belgium,BEL,GDP (current US$),NY.GDP.MKTP.CD,205332000000.0,210511000000.0,234782000000.0,224722000000.0,244884000000.0,288026000000.0,279201000000.0,252708000000.0,258528000000.0,258159000000.0,236205000000.0,236541000000.0,257158000000.0,317382000000.0,368537000000.0,385571000000.0,407918000000.0,470324000000.0,515224000000.0,481346000000.0,480952000000.0,522646000000.0,496181000000.0,521643000000.0,534678000000.0,462150000000.0,475901000000.0,503789000000.0,542686000000.0,529607000000.0
Benin,BEN,GDP (current US$),NY.GDP.MKTP.CD,1959965244.0,1986437860.0,1695315306.0,2274557914.0,1598075932.0,2169627251.0,2361116588.0,2268301538.0,2455092582.0,3676045653.0,3511248900.0,3663017700.0,4174634520.0,5337266688.0,6179176459.0,6565043460.0,7027863025.0,8158257572.0,9748276762.0,9699586794.0,9535344283.0,10693321954.0,11141358945.0,12517845732.0,13284528654.0,11388160958.0,11821066153.0,12701656931.0,14250985959.0,14390709095.0
Burkina Faso,BFA,GDP (current US$),NY.GDP.MKTP.CD,3101301781.0,3135045684.0,2240264712.0,2332018011.0,1895290965.0,2379518099.0,2586550747.0,2447669404.0,2804902724.0,3364819317.0,2956746304.0,3187582125.0,3605329547.0,4730140785.0,5441918269.0,6143909201.0,6541603851.0,7615651314.0,9413335567.0,9412813382.0,10109618964.0,12080296644.0,12561016091.0,13444301139.0,13943016924.0,11832159276.0,12822558022.0,14169905602.0,16199434625.0,15745810235.0
Bangladesh,BGD,GDP (current US$),NY.GDP.MKTP.CD,31598341234.0,30957483950.0,31708874594.0,33166519418.0,33768660883.0,37939748769.0,46438484108.0,48244309133.0,49984559471.0,51270569884.0,53369787319.0,53991289844.0,54724081491.0,60158929188.0,65108544250.0,69442943089.0,71819083684.0,79611888213.0,91631278239.0,102478000000.0,115279000000.0,128638000000.0,133356000000.0,149990000000.0,172885000000.0,195079000000.0,221415000000.0,249711000000.0,274039000000.0,302571000000.0
Bulgaria,BGR,GDP (current US$),NY.GDP.MKTP.CD,20632090909.0,10943548387.0,10350515464.0,10829710145.0,9697416974.0,18983303571.0,12294221473.0,11315986087.0,15030695297.0,13627323285.0,13245833844.0,14183497963.0,16402846413.0,21144983552.0,26157894737.0,29869283400.0,34379808889.0,44405101470.0,54438966420.0,51999181062.0,50363282117.0,57363610380.0,54013812089.0,55591336862.0,56883172568.0,50630703922.0,53785050339.0,58950125036.0,66200847918.0,67927179737.0
Bahrain,BHR,GDP (current US$),NY.GDP.MKTP.CD,4229787234.0,4616223404.0,4751063830.0,5200265957.0,5567553457.0,5849467819.0,6101861436.0,6349202394.0,6183776596.0,6621010372.0,9062898936.0,8976196809.0,9593510638.0,11074813830.0,13150159574.0,15968723404.0,18504760638.0,21730000000.0,25710904255.0,22938218085.0,25713271277.0,28776595745.0,30749308511.0,32539468085.0,33387712766.0,31125851064.0,32250132979.0,35423643617.0,37652500000.0,38574069149.0
"Bahamas, The",BHS,GDP (current US$),NY.GDP.MKTP.CD,3166000000.0,3111160000.0,3109000000.0,3092000000.0,3259000000.0,3429000000.0,3609000000.0,6332360000.0,6833220000.0,7683870000.0,8076470000.0,8317830000.0,8881160000.0,8870090000.0,9055290000.0,9836200000.0,10167250000.0,10618340000.0,10526000000.0,9981960000.0,10095760000.0,10070450000.0,10720500000.0,10562700000.0,10913300000.0,11752300000.0,11938400000.0,12150400000.0,12424500000.0,12827000000.0
Bosnia and Herzegovina,BIH,GDP (current US$),NY.GDP.MKTP.CD,,,,,1255802469.0,1866572954.0,2786045322.0,3671816504.0,4116699437.0,4685733115.0,5505887894.0,5748993411.0,6651106833.0,8369878823.0,10596205714.0,11222953519.0,12864610994.0,15778767670.0,19112739664.0,17613836210.0,17176781337.0,18644723861.0,17226849297.0,18178503835.0,18558343508.0,16211541253.0,16913330694.0,18080118128.0,20183498491.0,20047848435.0
