Country,level_3,RCA_Specialty
Syria,Medical Sciences,0.2878299368831998
Uzbekistan,Medical Sciences,0.3729867229433181
Ivory Coast,Medical Sciences,0.6663843862772617
Jamaica,Medical Sciences,2.866280667683253
Mauritania,Medical Sciences,2.977233467722604
New Zealand,Medical Sciences,1.3037443790380328
Peru,Medical Sciences,1.3318071789235315
South Africa,Medical Sciences,0.7327973841777883
Bangladesh,Medical Sciences,1.2789928967773418
Byelarus,Medical Sciences,0.6486613081054167
Chile,Medical Sciences,1.2271289065916593
Costa Rica,Medical Sciences,1.750568203775901
Japan,Medical Sciences,0.8273477841761538
Lebanon ,Medical Sciences,0.766729902617079
Republic of Serbia,Medical Sciences,0.833018555605943
Sudan,Medical Sciences,1.5759175477147322
United States,Medical Sciences,0.9422759020005026
Venezuela,Medical Sciences,0.9826684940177222
Ecuador,Medical Sciences,1.5310295109397567
Hungary,Medical Sciences,0.9173541333773838
New Zealand,Medical Sciences,0.2180748332239088
Denmark,Medical Sciences,1.0611908109694732
Georgia,Medical Sciences,1.386875700694729
Ivory Coast,Medical Sciences,1.6797718324298976
Nepal,Medical Sciences,1.1104935503176172
Singapore,Medical Sciences,0.8984490835116359
Andorra,Medical Sciences,19.583796183268227
Bulgaria,Medical Sciences,0.8150481648527818
Burkina Faso,Medical Sciences,3.036247470274144
Costa Rica,Medical Sciences,1.3844215269467968
Italy,Medical Sciences,1.4786366779432585
Lebanon ,Medical Sciences,1.4148437940952363
Tunisia,Medical Sciences,0.6664642680169816
Angola,Medical Sciences,14.631196348975337
Croatia,Medical Sciences,1.8041650231433388
Italy,Medical Sciences,0.6760731673034525
Ivory Coast,Medical Sciences,1.637426306203016
Nepal,Medical Sciences,0.5412495069430017
Portugal,Medical Sciences,1.3315286776089108
Russia,Medical Sciences,0.6748434258414683
Uganda,Medical Sciences,3.3960929961431936
United Kingdom,Medical Sciences,1.3388145529799045
Colombia,Medical Sciences,0.3167416909755299
Egypt,Medical Sciences,0.5452495441008186
Germany,Medical Sciences,1.1923853915133689
Republic of Kosovo,Medical Sciences,2.2251103791030977
Afghanistan,Medical Sciences,4.149005455742538
Colombia,Medical Sciences,1.036841221047562
France,Medical Sciences,1.290115946423939
Luxembourg,Medical Sciences,1.972828905439057
Nigeria,Medical Sciences,1.4797807268788283
Rwanda,Medical Sciences,1.2510359961971775
Tanzania,Medical Sciences,3.4014016424908164
Barbados,Natural Sciences,1.660086248079208
Lesotho,Natural Sciences,3.9092353583800703
Netherlands,Natural Sciences,0.5089018430223637
Norway,Natural Sciences,0.5211590732334394
Peru,Natural Sciences,0.4371800003960396
United Kingdom,Medical Sciences,0.9748208411959336
Czech Republic,Medical Sciences,0.4294412791208653
Russia,Medical Sciences,1.9045032719309252
Ukraine,Medical Sciences,0.3289614835451378
Guatemala,Medical Sciences,1.3703207864656688
Guyana,Medical Sciences,1.449074854653351
Hungary,Medical Sciences,1.0057815291032748
New-Caledonia,Medical Sciences,2.362249245307681
Panama,Medical Sciences,3.13866005862676
Singapore,Medical Sciences,1.2787570027172297
Denmark,Medical Sciences,1.4874850501651935
Egypt,Medical Sciences,0.6203730760191151
Finland,Medical Sciences,1.447134139286138
Gambia,Medical Sciences,1.0987409226119136
Germany,Medical Sciences,1.1540282987617765
Iraq,Medical Sciences,0.6922067812455055
Monaco,Medical Sciences,0.6071989309171101
Oman,Medical Sciences,1.04091245300076
Panama,Medical Sciences,1.7233363848435823
Swaziland,Medical Sciences,1.0858145588164794
Vietnam,Medical Sciences,0.8541600158249459
Afghanistan,Medical Sciences,1.074715922571281
Armenia,Medical Sciences,0.83339934118411
India,Medical Sciences,1.502173772261872
Israel,Medical Sciences,1.0268620176405732
Laos,Medical Sciences,2.1093803200777934
Maldives,Medical Sciences,4.24512789415656
Slovakia,Medical Sciences,1.1444139287400696
Thailand,Medical Sciences,1.8267154642769108
Yemen,Medical Sciences,0.6556182075917467
Zimbabwe,Medical Sciences,0.9521782192500694
Brazil,Medical Sciences,1.581417823958027
Iran,Medical Sciences,0.8031713925990452
Saudi Arabia,Medical Sciences,0.9062596208253269
United Arab Emirates,Medical Sciences,0.7694893907526918
Jamaica,Medical Sciences,2.890042221012929
Switzerland,Medical Sciences,1.9940881440478615
Ukraine,Medical Sciences,0.2092632325536683
Australia,Medical Sciences,1.614767327144905
Fiji,Medical Sciences,1.1691818616876557
Malawi,Medical Sciences,5.2673658699824895
Senegal,Medical Sciences,1.9748365899094007
Uruguay,Medical Sciences,1.4927757526266163
Denmark,Medical Sciences,0.6206634911607296
Iraq,Medical Sciences,1.1339177170455883
Oman,Medical Sciences,1.7051394241287043
Paraguay,Medical Sciences,2.8889623364218817
Switzerland,Medical Sciences,1.845928823457084
Iceland,Medical Sciences,0.2319837059012786
Liechtenstein,Medical Sciences,2.724624954003793
Malta,Medical Sciences,1.3943250417356226
Peru,Medical Sciences,0.3853004985459909
Singapore,Medical Sciences,0.4010068050732894
Bosnia & Herzegovina,Medical Sciences,0.5916451823170767
Cambodia,Medical Sciences,2.245009801394935
Iceland,Medical Sciences,0.2847710086912776
Kenya,Medical Sciences,3.732386895486817
Romania,Medical Sciences,0.2522935966673461
Thailand,Medical Sciences,2.682881217289083
Vietnam,Medical Sciences,1.4368937550087408
Azerbaijan,Natural Sciences,0.5873326144254387
Cyprus,Natural Sciences,0.4936305340520659
Finland,Natural Sciences,0.5763485881716623
France,Natural Sciences,0.6971422549855172
Germany,Natural Sciences,0.7327503212253947
Morocco,Natural Sciences,0.8247706178070475
Reunion,Natural Sciences,1.2892159160615126
Singapore,Natural Sciences,0.5980014611724931
United States,Natural Sciences,0.6708568269413054
Australia,Natural Sciences,0.3515883208262258
Peru,Natural Sciences,0.3566131700278042
Zimbabwe,Natural Sciences,0.9238614087075452
Ghana ,Natural Sciences,0.0972737611874577
Jamaica,Natural Sciences,0.2505353186691458
Latvia,Natural Sciences,0.5961012754541747
United Kingdom,Natural Sciences,0.6467533722500581
Bangladesh,Natural Sciences,0.7366996486276656
Slovakia,Natural Sciences,2.396272365055519
Uruguay,Natural Sciences,0.8382391142128662
Uzbekistan,Natural Sciences,3.826139956827249
Barbados,Natural Sciences,1.2433232821171232
Burkina Faso,Natural Sciences,0.4690573622457364
Estonia,Natural Sciences,0.7718680305689595
France,Natural Sciences,0.9319400735042322
Japan,Natural Sciences,1.9311677659614932
Kuwait,Natural Sciences,0.7098750806277654
Lebanon ,Natural Sciences,0.8196502070549369
Moldova ,Natural Sciences,1.1440663814439076
Nigeria,Natural Sciences,0.6439139603612061
Republic of Serbia,Natural Sciences,0.523831856067045
Romania,Natural Sciences,0.7801275398120397
Tanzania,Natural Sciences,0.1712501879142453
Bulgaria,Natural Sciences,1.8916623728075597
Canada,Natural Sciences,0.5783203109169648
Guadeloupe,Natural Sciences,0.4981089657468915
Iran,Natural Sciences,1.229850998441432
Kyrgyzstan,Natural Sciences,0.2424130299968206
New Zealand,Natural Sciences,0.2603906884898161
Saudi Arabia,Natural Sciences,0.9798321264481642
Tanzania,Natural Sciences,0.4573067777727629
Austria,Natural Sciences,0.3277822626300056
Belgium,Natural Sciences,0.6240730475486574
Estonia,Natural Sciences,0.2472565551068217
Ethiopia,Natural Sciences,0.5866657016718535
France,Natural Sciences,0.6701689320980618
India,Natural Sciences,1.5987075413838698
Japan,Natural Sciences,1.0578787722459488
Kazakhstan,Natural Sciences,1.8289208275986557
Sweden,Natural Sciences,0.3580154155225327
Angola,Natural Sciences,0.433722433394973
Bangladesh,Natural Sciences,0.8757080766419547
Bulgaria,Natural Sciences,4.585423876759569
Canada,Natural Sciences,0.5302842440879378
Czech Republic,Natural Sciences,1.417953415561857
Lithuania,Natural Sciences,0.8050465458108771
Qatar,Natural Sciences,0.7085619702378029
Russia,Natural Sciences,1.767213221163528
South Korea,Natural Sciences,1.040814168126049
Tajikistan,Natural Sciences,2.1921840383550264
Albania,Natural Sciences,0.9932682837232027
Argentina,Natural Sciences,0.4377912340580941
Cameroon,Natural Sciences,0.5503909655586366
Greece,Natural Sciences,0.8737960622645183
Hungary,Natural Sciences,1.3976801296407655
Kuwait,Natural Sciences,0.2064222355000175
Taiwan,Natural Sciences,0.7070970143573484
Thailand,Natural Sciences,0.5400722075903757
United States,Natural Sciences,0.5050514233603458
Venezuela,Natural Sciences,0.641485766571235
Australia,Natural Sciences,0.3255601547365542
Bolivia,Natural Sciences,0.416342199975
Ethiopia,Natural Sciences,0.3231902656185756
Iceland,Natural Sciences,0.0788554297085577
Libya,Natural Sciences,1.189029689011572
Malaysia,Natural Sciences,0.6076619571150639
Montenegro,Natural Sciences,0.2872234164384493
Venezuela,Natural Sciences,0.5252465254314236
Argentina,Natural Sciences,1.3786523032994535
Bangladesh,Natural Sciences,0.4833223903348217
Iraq,Natural Sciences,1.1817635212345003
Qatar,Natural Sciences,1.1840225115525942
Senegal,Natural Sciences,0.5347346249929865
Tajikistan,Natural Sciences,1.9761931793219067
China,Natural Sciences,1.525267968112691
Croatia,Natural Sciences,0.4201428373756836
Ecuador,Natural Sciences,0.1558794411396795
Luxembourg,Natural Sciences,2.140762195944077
Saudi Arabia,Natural Sciences,1.3071504705435009
Ghana ,Medical Sciences,1.719034369695449
Malaysia,Medical Sciences,0.6507847705116064
Slovakia,Medical Sciences,0.4078990505915193
Canada,Medical Sciences,1.1155692743881
Ethiopia,Medical Sciences,1.1879713584673093
Japan,Medical Sciences,1.5625140733630434
Lebanon ,Medical Sciences,1.2051365075360725
Morocco,Medical Sciences,1.816453483681866
Russia,Medical Sciences,0.1595513900061705
Burundi,Medical Sciences,11.663145810110018
United Arab Emirates,Medical Sciences,0.5692293386035003
Canada,Medical Sciences,1.4690244930561518
Thailand,Medical Sciences,1.1841437187754955
Benin,Medical Sciences,0.1326003060909621
Bosnia & Herzegovina,Medical Sciences,0.6127378765214136
Ethiopia,Medical Sciences,0.1762757778301218
Macedonia,Medical Sciences,0.192873172495945
Mongolia,Medical Sciences,0.4732204232242516
Morocco,Medical Sciences,0.250280069572778
Sierra Leone,Medical Sciences,0.3822711526946657
United States,Medical Sciences,1.2085110835620738
Zambia,Medical Sciences,0.2822534231647975
Cameroon,Medical Sciences,1.0038849313439844
Israel,Medical Sciences,1.3555890253261704
Samoa,Medical Sciences,7.069315565478267
Taiwan,Medical Sciences,0.946701095067509
Finland,Medical Sciences,1.394249822287853
Liechtenstein,Medical Sciences,22.64500970416985
Pakistan,Medical Sciences,0.2492015441400856
Syria,Medical Sciences,9.212166670853652
Iran,Medical Sciences,0.4102462592573918
Latvia,Medical Sciences,0.3305302485579818
Malawi,Medical Sciences,5.552908175774095
Pakistan,Medical Sciences,0.1184006360636497
Slovakia,Medical Sciences,0.0682580269148223
United Arab Emirates,Medical Sciences,0.5574051128329829
Uruguay,Medical Sciences,0.7306458126018547
Ecuador,Medical Sciences,0.2898185485388529
Iraq,Medical Sciences,0.263010332799009
Jamaica,Medical Sciences,0.8712557608248747
St-Kitts & Nevis ,Medical Sciences,3.463510555377897
Afghanistan,Medical Sciences,5.898386432120003
Burkina Faso,Medical Sciences,4.816253520800831
Cambodia,Medical Sciences,1.5957963292379462
Estonia,Medical Sciences,1.282065485120631
France,Medical Sciences,1.039720180600315
Kenya,Medical Sciences,3.858985740268989
Laos,Medical Sciences,4.341358957802612
Republic of Serbia,Medical Sciences,0.6275120617472801
Australia,Arts and Humanities,0.8343591647910357
Bulgaria,Arts and Humanities,0.2386985044499495
Lebanon ,Arts and Humanities,0.7458430090880422
Lithuania,Arts and Humanities,0.7726685476685478
Taiwan,Arts and Humanities,0.2774286974561812
France,Arts and Humanities,1.0478045872511523
Taiwan,Arts and Humanities,0.1934864978135392
Benin,Natural Sciences,4.170222836312323
Botswana,Natural Sciences,1.997711538353209
Bulgaria,Natural Sciences,1.138690078068215
Cameroon,Natural Sciences,2.1297775869945195
Greece,Natural Sciences,1.1977905842695669
Lithuania,Natural Sciences,1.2880997177798683
Mozambique,Natural Sciences,2.8035111504620662
Nicaragua,Natural Sciences,3.060714008302623
Slovakia,Natural Sciences,0.9090734274768908
Uruguay,Natural Sciences,3.157130070529423
Benin,Natural Sciences,7.254810373675404
Bosnia & Herzegovina,Natural Sciences,2.8285903261983525
Liechtenstein,Natural Sciences,0.5922294182592166
Syria,Natural Sciences,2.9151749446732214
Uganda,Natural Sciences,1.3519779731308574
United States,Natural Sciences,0.7235313807224989
Algeria,Natural Sciences,0.9425179564834032
India,Natural Sciences,1.3025176976464432
Sierra Leone,Natural Sciences,1.1299282278467269
Sri Lanka,Natural Sciences,2.0345177155980663
Australia,Natural Sciences,0.8970373558933324
Brunei,Natural Sciences,2.529336799212228
Cambodia,Natural Sciences,3.7940051988183434
Costa Rica,Natural Sciences,4.07897466146891
Israel,Natural Sciences,0.7485469716587542
Jamaica,Natural Sciences,1.72026322679341
Japan,Natural Sciences,0.9868101098150291
Lithuania,Natural Sciences,0.460644290251541
Mali,Natural Sciences,2.495156572195847
Sudan,Natural Sciences,0.6426041288021787
Taiwan,Natural Sciences,0.3946939447467779
Azerbaijan,Natural Sciences,0.6750129074163517
Brazil,Natural Sciences,2.622657117004216
Byelarus,Natural Sciences,0.3546969352213256
Chile,Natural Sciences,1.225982473554606
Estonia,Natural Sciences,1.0451050267401742
Iceland,Natural Sciences,1.452069468951248
Monaco,Natural Sciences,8.246703743895822
Solomon Islands,Natural Sciences,11.29278350515464
United Arab Emirates,Natural Sciences,0.7231446689005221
Cameroon,Natural Sciences,1.257988450091697
