Year,Country,Country ID,ECI
1965,Hungary,euhun,1.18797
1965,Ireland,euirl,0.989011
1965,Italy,euita,1.80755
1965,Netherlands,eunld,1.37785
1965,Norway,eunor,1.42403
1965,Poland,eupol,1.16368
1965,Portugal,euprt,0.989054
1965,Romania,eurou,0.386979
1965,Sweden,euswe,2.06048
1965,Canada,nacan,0.718737
1965,Costa Rica,nacri,0.50225
1965,Dominican Republic,nadom,-1.10972
1965,Guatemala,nagtm,-0.009312
1965,Honduras,nahnd,-0.26032
1965,Jamaica,najam,-0.149621
1965,Mexico,namex,0.088726
1965,Nicaragua,nanic,-0.295313
1965,Panama,napan,0.925952
1965,El Salvador,naslv,0.354408
1965,Trinidad and Tobago,natto,-0.469977
1965,United States,nausa,1.78979
1965,Australia,ocaus,0.191705
1965,New Zealand,ocnzl,0.276908
1965,Argentina,saarg,-0.138631
1965,Bolivia,sabol,-0.708527
1965,Brazil,sabra,-0.904464
1965,Chile,sachl,-0.096364
1965,Colombia,sacol,-0.244653
1965,Ecuador,saecu,-0.456346
1965,Peru,saper,-0.735034
1965,Paraguay,sapry,-0.757384
1965,Uruguay,saury,0.265711
1965,Venezuela,saven,-0.29573
1966,Angola,afago,-1.17056
1966,Cote d'Ivoire,afciv,-0.998812
1966,Cameroon,afcmr,-1.27345
1966,Republic of the Congo,afcog,-1.01512
1966,Algeria,afdza,-0.298926
1966,Egypt,afegy,-0.121717
1966,Ethiopia,afeth,-0.879627
1966,Gabon,afgab,-1.51319
1966,Ghana,afgha,-1.04538
1966,Guinea,afgin,-1.22868
1966,Kenya,afken,-0.848143
1966,Morocco,afmar,-0.249372
1966,Madagascar,afmdg,-1.00572
1966,Mozambique,afmoz,-0.925499
1966,Mauritania,afmrt,-1.11776
1966,Nigeria,afnga,-1.58372
1966,Sudan,afsdn,-1.20651
1966,Senegal,afsen,-0.546367
1966,Togo,aftgo,-1.16147
1966,Tunisia,aftun,-0.181228
1966,Tanzania,aftza,-1.33051
